"month_and_year","coin_name","avg_close","max_high","min_low","total_volume"
"2015-11",Ethereum,0.93,1.10642,0.725665,25989044
"2015-12",Bitcoin,424.46,469.103,349.465,2096250240
"2015-12",Dogecoin,0.00,0.00015981,0.00012381,5779767.0
"2015-12",Ethereum,0.89,1.04537,0.770488,14436832
"2016-01",Bitcoin,410.84,462.934,354.914,1990880256
"2016-01",Dogecoin,0.00,0.00050046,0.00013401,23332748
"2016-01",Ethereum,1.49,2.83699,0.929835,99427360
"2016-02",Bitcoin,404.41,448.046,367.957,1876238720
"2016-02",Dogecoin,0.00,0.00032765,0.00024367,8323711.0
"2016-02",Ethereum,4.55,6.64741,2.11631,350388928
"2016-03",Bitcoin,416.53,439.653,394.035,2332852992
"2016-03",Dogecoin,0.00,0.00025991,0.0002071,7206035.5
"2016-03",Ethereum,11.17,15.2571,6.30885,911491264
"2016-04",Bitcoin,434.34,467.965,415.831,1811475072
"2016-04",Dogecoin,0.00,0.00024157,0.00019708,4306233.5
"2016-04",Ethereum,8.94,11.8504,7.05898,503439584
"2016-05",Bitcoin,461.95,553.96,437.389,2234432512
"2016-05",Dogecoin,0.00,0.00024594,0.00021856,4124010.8
"2016-05",Ethereum,11.36,15.0482,8.43236,866285440
"2016-06",Bitcoin,642.87,777.99,525.636,4749702656
"2016-06",Dogecoin,0.00,0.00034379,0.00022627,11653667
"2016-06",Ethereum,14.34,21.5227,9.96364,1179208448
"2016-07",Bitcoin,661.36,704.968,611.834,3454185984
"2016-07",Dogecoin,0.00,0.00030911,0.00023046,7652127.5
"2016-07",Ethereum,11.87,14.8989,9.57626,851472192
"2016-08",Bitcoin,579.59,626.119,531.334,2686220288
"2016-08",Dogecoin,0.00,0.00027654,0.00020347,9001497.0
"2016-08",Ethereum,11.11,12.4578,8.20098,507070336
"2016-09",Bitcoin,605.85,628.818,570.811,2004401664
"2016-09",Dogecoin,0.00,0.00027134,0.00022223,5920928.5
"2016-09",Ethereum,12.47,14.4341,11.2524,347623072
"2016-10",Bitcoin,643.55,720.402,609.479,2115443712
"2016-10",Dogecoin,0.00,0.00023691,0.00021302,3790146.0
"2016-10",Ethereum,12.08,13.531,9.56327,311770272
"2016-11",Bitcoin,726.35,756.237,678.156,2635772928
"2016-11",Dogecoin,0.00,0.0002576,0.00021305,3778015.5
"2016-11",Ethereum,9.97,11.2454,7.87573,263548928
"2016-12",Bitcoin,828.06,979.397,746.046,3556763648
