"date","coin_name","symbol","open_price","close_price","high_price","low_price","volume","market_cap"
2017-08-17,Binance Coin,BNB,1.43697,1.96715,2.11131,1.32364,61296500,196715008
2017-08-18,Binance Coin,BNB,1.92519,2.384,2.75412,1.8947,69048000,238400000
2017-08-19,Binance Coin,BNB,2.3344,2.09337,2.3344,1.81994,43391300,209336992
2017-08-20,Binance Coin,BNB,2.10821,2.50258,2.68944,2.07582,65350400,250258000
2017-08-21,Binance Coin,BNB,2.43075,2.70111,2.90892,2.43075,72000600,270111008
2017-08-22,Binance Coin,BNB,2.72445,2.48527,2.72445,2.22479,52091300,248527008
2017-08-23,Binance Coin,BNB,2.47397,2.58043,2.95545,2.47397,64925100,258043008
2017-08-24,Binance Coin,BNB,2.62736,2.37932,2.66397,2.28338,45080400,237932000
2017-08-25,Binance Coin,BNB,2.39057,2.49687,2.72997,2.39057,49977600,249687008
2017-08-26,Binance Coin,BNB,2.53038,2.16936,2.53884,1.96056,26690700,216936000
2017-08-27,Binance Coin,BNB,2.17997,2.00519,2.31355,1.85802,17214900,200519008
2017-08-28,Binance Coin,BNB,2.02149,2.0429,2.16743,1.9628,15413900,204290000
2017-08-29,Binance Coin,BNB,2.10625,2.32758,2.32758,1.98973,20372000,232758000
2017-08-30,Binance Coin,BNB,2.28194,2.35005,2.36535,2.09456,24830000,235004992
2017-08-31,Binance Coin,BNB,2.32823,2.20379,2.40815,2.19645,20214800,220379008
2017-09-01,Binance Coin,BNB,2.20169,2.38417,2.38899,2.11652,20990700,238416992
2017-09-02,Binance Coin,BNB,2.5,1.99268,2.84927,1.72247,22995400,199268000
2017-09-03,Binance Coin,BNB,1.92548,1.5758,2.0193,1.42417,11662000,157580000
2017-09-04,Binance Coin,BNB,1.57665,1.04957,1.57665,0.61301,20075100,104957000
2017-09-05,Binance Coin,BNB,1.03251,0.973716,1.11945,0.740622,9453770.0,97371600
2017-09-06,Binance Coin,BNB,0.990521,1.08614,1.1713,0.7355,14279400,108614000
2017-09-07,Binance Coin,BNB,1.03434,1.36622,1.50827,0.956745,15442300,136622000
2017-09-08,Binance Coin,BNB,1.39804,1.00683,1.40393,0.946601,9872850.0,100683000
2017-09-09,Binance Coin,BNB,1.0092,0.989301,1.03378,0.863061,4011510.0,98930096
2017-09-10,Binance Coin,BNB,0.982078,0.942159,1.00276,0.852385,3257430.0,94215904
2017-09-11,Binance Coin,BNB,0.949186,1.02581,1.1017,0.902,5167180.0,102581000
2017-09-12,Binance Coin,BNB,1.03348,1.03568,1.20824,0.987632,7213490.0,103568000
2017-09-13,Binance Coin,BNB,1.0429,0.937204,1.0429,0.880241,2780700.0,93720400
2017-09-14,Binance Coin,BNB,0.93787,0.678784,0.950177,0.673482,3134360.0,67878400
2017-09-15,Binance Coin,BNB,0.683305,0.799709,0.849217,0.526755,4625680.0,79970896
2017-09-16,Binance Coin,BNB,0.808056,0.804198,0.927197,0.746113,2829570.0,80419800
2017-09-17,Binance Coin,BNB,0.803423,0.789589,0.814797,0.733745,1273640.0,78958896
2017-09-18,Binance Coin,BNB,0.789565,0.909202,0.937029,0.787604,3717860.0,90920200
2017-09-19,Binance Coin,BNB,0.907398,0.802425,0.909132,0.787653,2888420.0,80242496
2017-09-20,Binance Coin,BNB,0.815032,0.74789,0.816384,0.743676,2536950.0,74789000
2017-09-21,Binance Coin,BNB,0.764013,0.70214,0.781775,0.684281,2238040.0,70214000
2017-09-22,Binance Coin,BNB,0.698871,0.715893,0.740154,0.68326,2099500.0,71589296
2017-09-23,Binance Coin,BNB,0.717196,0.770965,0.7774,0.707845,2276080.0,77096496
2017-09-24,Binance Coin,BNB,0.775804,0.783268,0.788347,0.736221,2402720.0,78326800
2017-09-25,Binance Coin,BNB,0.784244,0.917059,0.936568,0.773316,3695220.0,91705904
2017-09-26,Binance Coin,BNB,0.918922,0.860747,0.940082,0.859212,3460160.0,86074704
2017-09-27,Binance Coin,BNB,0.855698,1.14366,1.20138,0.855698,8394020.0,114366000
2017-09-28,Binance Coin,BNB,1.14843,1.37788,1.43307,1.14508,13944300,137788000
2017-09-29,Binance Coin,BNB,1.36698,1.26624,1.36698,1.13546,8474270.0,126624000
2017-09-30,Binance Coin,BNB,1.27,1.28358,1.30772,1.22802,6194570.0,128358000
2017-10-01,Binance Coin,BNB,1.28418,1.52653,1.52895,1.2599,9043600.0,152652992
2017-10-02,Binance Coin,BNB,1.52662,1.96467,1.98287,1.51344,19367700,196467008
2017-10-03,Binance Coin,BNB,1.96783,1.8207,2.03295,1.67165,14411500,182070000
2017-10-04,Binance Coin,BNB,1.8515,1.60148,1.85747,1.51766,7227750.0,160148000
2017-10-05,Binance Coin,BNB,1.63499,1.67849,1.73519,1.41695,7503500.0,167848992
2017-10-06,Binance Coin,BNB,1.67731,1.57991,1.71358,1.53424,6076260.0,157991008
2017-10-07,Binance Coin,BNB,1.60526,1.58425,1.60526,1.50058,5578780.0,158424992
2017-10-08,Binance Coin,BNB,1.57618,1.21723,1.60408,1.21723,4515300.0,121723000
2017-10-09,Binance Coin,BNB,1.20771,1.40378,1.57743,1.20771,9667100.0,140378000
2017-10-10,Binance Coin,BNB,1.43107,1.39336,1.46911,1.34287,6912770.0,139336000
2017-10-11,Binance Coin,BNB,1.39944,1.43373,1.45616,1.37799,6123140.0,143372992
2017-10-12,Binance Coin,BNB,1.42996,1.34376,1.44019,1.28264,5275850.0,134376000
2017-10-13,Binance Coin,BNB,1.33651,1.43548,1.51166,1.18349,5705760.0,143548000
2017-10-14,Binance Coin,BNB,1.46932,1.53819,1.53819,1.40702,3355060.0,153819008
2017-10-15,Binance Coin,BNB,1.49513,1.55844,1.67941,1.40775,5987930.0,155844000
2017-10-16,Binance Coin,BNB,1.55599,1.4407,1.59992,1.39071,2960330.0,144070000
2017-10-17,Binance Coin,BNB,1.43768,1.38995,1.47355,1.35601,1744390.0,138995008
2017-10-18,Binance Coin,BNB,1.39351,1.32756,1.42086,1.20837,2311140.0,132756000
2017-10-19,Binance Coin,BNB,1.32868,1.28461,1.35361,1.24918,1791220.0,128461000
2017-10-20,Binance Coin,BNB,1.28326,1.24192,1.37281,1.21927,1703230.0,122967464
2017-10-21,Binance Coin,BNB,1.23735,1.25405,1.26935,1.17026,1331640.0,124168504
2017-10-22,Binance Coin,BNB,1.2553,1.21377,1.29945,1.18347,1631220.0,120180224
2017-10-23,Binance Coin,BNB,1.23136,1.18373,1.2781,1.09605,2355560.0,117205840
2017-10-24,Binance Coin,BNB,1.17693,1.24843,1.37906,1.13628,4833390.0,123612048
2017-10-25,Binance Coin,BNB,1.24341,1.25278,1.26927,1.17148,2288360.0,124042760
2017-10-26,Binance Coin,BNB,1.26097,1.2086,1.26097,1.09816,2400010.0,119668320
2017-10-27,Binance Coin,BNB,1.20875,1.17418,1.21728,1.10711,2067650.0,116260256
2017-10-28,Binance Coin,BNB,1.18092,1.15257,1.20429,1.13981,1495260.0,114120568
2017-10-29,Binance Coin,BNB,1.17837,1.24123,1.26073,1.15885,1969690.0,122899144
2017-10-30,Binance Coin,BNB,1.23336,1.31227,1.35859,1.20347,2437230.0,129933104
2017-10-31,Binance Coin,BNB,1.33595,1.31289,1.41038,1.27114,3397150.0,129994488
2017-11-01,Binance Coin,BNB,1.33516,1.26154,1.33516,1.21805,2118920.0,124910120
2017-11-02,Binance Coin,BNB,1.26025,1.29963,1.37244,1.19562,3550520.0,128681568
2017-11-03,Binance Coin,BNB,1.29456,1.45922,1.48037,1.29456,3201070.0,144483216
2017-11-04,Binance Coin,BNB,1.45598,1.6372,1.69993,1.39893,4685320.0,162105728
2017-11-05,Binance Coin,BNB,1.63719,1.52166,1.63719,1.45524,2681150.0,150665648
2017-11-06,Binance Coin,BNB,1.52879,1.56979,1.66504,1.48068,5042750.0,155431184
2017-11-07,Binance Coin,BNB,1.56909,1.80644,1.81819,1.55121,9469500.0,178862848
2017-11-08,Binance Coin,BNB,1.79907,2.03102,2.05518,1.77747,18796200,201099408
2017-11-09,Binance Coin,BNB,2.05314,1.99077,2.17423,1.89394,19192200,197114096
2017-11-10,Binance Coin,BNB,2.00773,1.79684,2.06947,1.64478,11155000,177912320
