"date","coin_name","daily_return"
2021-05-20,Binance Coin,16.1012
2021-05-21,Binance Coin,-17.1022
2021-05-23,Binance Coin,-12.2063
2021-05-24,Binance Coin,31.3236
2021-05-26,Binance Coin,10.3862
2021-05-28,Binance Coin,-10.2748
2021-06-02,Binance Coin,10.6032
2021-06-21,Binance Coin,-20.3144
2021-06-23,Binance Coin,12.4790
2013-05-01,Bitcoin,-15.8345
2013-05-02,Bitcoin,-10.0692
2013-05-04,Bitcoin,15.0895
2013-07-03,Bitcoin,-13.9836
2013-07-05,Bitcoin,-15.0198
2013-07-10,Bitcoin,13.1249
2013-10-02,Bitcoin,-13.6556
2013-10-19,Bitcoin,10.5540
2013-10-23,Bitcoin,10.2498
2013-10-27,Bitcoin,10.7828
2013-11-07,Bitcoin,12.9181
2013-11-08,Bitcoin,14.0683
2013-11-13,Bitcoin,13.0547
2013-11-17,Bitcoin,11.7873
2013-11-18,Bitcoin,42.9680
2013-11-19,Bitcoin,-16.9069
2013-11-21,Bitcoin,22.2737
2013-11-26,Bitcoin,16.1417
2013-12-01,Bitcoin,-15.3688
2013-12-06,Bitcoin,-20.6351
2013-12-07,Bitcoin,-15.8201
2013-12-08,Bitcoin,13.9839
2013-12-09,Bitcoin,12.2281
2013-12-10,Bitcoin,10.6719
2013-12-11,Bitcoin,-11.1309
2013-12-16,Bitcoin,-19.4209
2013-12-18,Bitcoin,-23.3713
2013-12-19,Bitcoin,32.3819
2013-12-26,Bitcoin,11.6929
2014-01-07,Bitcoin,-15.8703
2014-01-27,Bitcoin,-12.8649
2014-02-20,Bitcoin,-10.7362
2014-03-03,Bitcoin,19.2876
2014-03-27,Bitcoin,-18.8676
2014-04-10,Bitcoin,-17.5163
2014-04-11,Bitcoin,15.2724
2014-04-14,Bitcoin,10.8013
2014-04-15,Bitcoin,12.3803
2014-11-12,Bitcoin,15.1936
2015-01-03,Bitcoin,-10.7767
2015-01-13,Bitcoin,-15.6593
2015-01-14,Bitcoin,-21.1449
2015-01-15,Bitcoin,17.8217
2015-01-28,Bitcoin,-11.2193
2015-03-18,Bitcoin,-10.2296
2015-08-18,Bitcoin,-18.1788
2015-11-02,Bitcoin,10.9879
2015-11-03,Bitcoin,11.6914
2015-11-10,Bitcoin,-11.4233
2016-01-15,Bitcoin,-15.3321
2016-01-20,Bitcoin,10.5435
2016-05-28,Bitcoin,11.9494
2016-06-12,Bitcoin,10.8874
2016-06-16,Bitcoin,10.3444
2016-06-22,Bitcoin,-10.5806
2017-01-04,Bitcoin,10.6233
2017-01-05,Bitcoin,-12.2410
2017-01-06,Bitcoin,-10.9711
2017-01-11,Bitcoin,-14.3137
2017-03-18,Bitcoin,-11.4896
2017-06-12,Bitcoin,-10.0902
2017-07-15,Bitcoin,-10.4991
2017-07-17,Bitcoin,15.4724
2017-07-20,Bitcoin,23.9361
2017-08-05,Bitcoin,12.3285
2017-09-14,Bitcoin,-18.7411
2017-09-15,Bitcoin,15.2956
2017-09-18,Bitcoin,13.4618
2017-10-12,Bitcoin,12.8547
2017-11-13,Bitcoin,10.2422
2017-11-15,Bitcoin,10.2444
2017-12-06,Bitcoin,19.9283
2017-12-07,Bitcoin,25.2472
2017-12-16,Bitcoin,10.1119
2017-12-22,Bitcoin,-12.4730
2017-12-26,Bitcoin,14.7805
2017-12-30,Bitcoin,-11.6265
2018-01-05,Bitcoin,11.7333
2018-01-11,Bitcoin,-10.4686
2018-01-16,Bitcoin,-16.8548
2018-01-20,Bitcoin,11.1291
2018-01-21,Bitcoin,-10.0712
2018-01-30,Bitcoin,-10.5352
2018-02-01,Bitcoin,-10.2783
2018-02-05,Bitcoin,-15.9688
2018-02-06,Bitcoin,11.4838
2018-02-14,Bitcoin,10.4244
2018-03-14,Bitcoin,-10.0604
2018-04-12,Bitcoin,13.2160
2018-11-19,Bitcoin,-13.3732
2018-11-24,Bitcoin,-10.7278
2018-11-28,Bitcoin,11.4298
2018-12-20,Bitcoin,10.3710
2019-04-02,Bitcoin,17.3560
2019-05-11,Bitcoin,12.9478
2019-05-13,Bitcoin,12.0840
2019-05-19,Bitcoin,12.7418
2019-06-26,Bitcoin,10.3920
2019-06-27,Bitcoin,-14.0857
2019-06-28,Bitcoin,10.9501
2019-07-03,Bitcoin,10.7353
2019-07-16,Bitcoin,-13.0100
2019-07-18,Bitcoin,10.0340
2019-09-24,Bitcoin,-11.3960
2019-10-25,Bitcoin,15.5763
2020-03-12,Bitcoin,-37.1695
2020-03-13,Bitcoin,11.9281
2020-03-19,Bitcoin,18.1878
2020-03-23,Bitcoin,10.0520
2020-04-29,Bitcoin,12.7318
2020-07-27,Bitcoin,10.9610
2020-09-03,Bitcoin,-10.2395
2020-11-05,Bitcoin,10.2319
2021-01-13,Bitcoin,10.0032
2021-01-21,Bitcoin,-13.2837
2021-02-08,Bitcoin,18.7465
2021-04-26,Bitcoin,10.2389
2021-05-12,Bitcoin,-13.3217
2021-05-19,Bitcoin,-13.7661
2021-05-20,Bitcoin,10.2163
2021-05-24,Bitcoin,11.3182
2021-06-09,Bitcoin,11.5691
2021-06-21,Bitcoin,-11.2655
2013-12-17,Dogecoin,31.1672
2013-12-18,Dogecoin,34.6656
2013-12-19,Dogecoin,221.4570
2013-12-20,Dogecoin,-39.4519
2013-12-21,Dogecoin,-44.0690
2013-12-22,Dogecoin,-20.0460
2013-12-23,Dogecoin,43.3416
2013-12-24,Dogecoin,51.9437
2013-12-25,Dogecoin,-14.4186
2013-12-27,Dogecoin,-13.3005
2013-12-28,Dogecoin,-12.1416
2014-01-02,Dogecoin,-19.7058
2014-01-03,Dogecoin,-14.1979
2014-01-05,Dogecoin,-10.0073
2014-01-07,Dogecoin,-11.7826
2014-01-10,Dogecoin,52.0614
2014-01-13,Dogecoin,-19.6045
2014-01-14,Dogecoin,23.0713
2014-01-15,Dogecoin,20.9550
2014-01-18,Dogecoin,41.5278
2014-01-19,Dogecoin,18.4980
2014-01-20,Dogecoin,79.8432
2014-01-21,Dogecoin,44.7789
2014-01-22,Dogecoin,-17.5018
2014-01-23,Dogecoin,20.2834
2014-01-26,Dogecoin,-13.5752
2014-01-27,Dogecoin,-23.5143
2014-01-28,Dogecoin,11.3300
2014-01-29,Dogecoin,18.0965
2014-02-02,Dogecoin,-12.1961
2014-02-05,Dogecoin,12.2201
2014-02-07,Dogecoin,-13.9224
2014-02-09,Dogecoin,19.3610
2014-02-11,Dogecoin,28.1131
2014-02-13,Dogecoin,-13.5236
2014-02-26,Dogecoin,19.8694
2014-03-03,Dogecoin,15.3489
2014-03-08,Dogecoin,-10.1501
2014-03-10,Dogecoin,-10.6523
2014-03-12,Dogecoin,18.1851
2014-03-25,Dogecoin,-12.1618
2014-03-27,Dogecoin,-26.9962
2014-03-28,Dogecoin,11.1040
2014-03-29,Dogecoin,13.3305
2014-04-02,Dogecoin,-20.0495
2014-04-10,Dogecoin,-21.3359
2014-04-11,Dogecoin,26.7683
2014-04-14,Dogecoin,18.5149
2014-04-15,Dogecoin,27.3212
2014-04-16,Dogecoin,20.4785
2014-04-25,Dogecoin,-18.6735
2014-05-30,Dogecoin,-11.0811
2014-06-01,Dogecoin,18.7748
2014-06-25,Dogecoin,-13.3195
2014-07-02,Dogecoin,-13.6926
2014-07-08,Dogecoin,17.8196
2014-07-17,Dogecoin,11.6339
2014-08-15,Dogecoin,-17.2840
2014-08-16,Dogecoin,11.8639
2014-08-18,Dogecoin,-14.4389
2014-08-20,Dogecoin,13.8660
2014-08-25,Dogecoin,-10.7650
2014-08-26,Dogecoin,28.2793
2014-09-04,Dogecoin,12.2334
2014-09-06,Dogecoin,29.1637
2014-09-07,Dogecoin,-10.7350
2014-09-09,Dogecoin,10.9373
2014-09-13,Dogecoin,30.0580
2014-09-14,Dogecoin,29.2060
2014-09-18,Dogecoin,10.9817
2014-09-24,Dogecoin,11.3430
2014-09-26,Dogecoin,20.1711
2014-09-27,Dogecoin,-16.7707
2014-10-02,Dogecoin,-10.0719
2014-10-22,Dogecoin,11.3337
2014-11-23,Dogecoin,17.2323
2015-01-13,Dogecoin,-13.1188
2015-01-14,Dogecoin,-14.8697
2015-01-15,Dogecoin,21.1965
2015-05-12,Dogecoin,19.4905
2015-05-20,Dogecoin,11.6050
2015-05-26,Dogecoin,13.7682
2015-05-27,Dogecoin,14.2192
2015-06-02,Dogecoin,12.9679
2015-06-16,Dogecoin,17.0333
2015-06-23,Dogecoin,-14.6321
2015-08-18,Dogecoin,-10.8060
2015-10-29,Dogecoin,12.1597
2015-12-29,Dogecoin,12.0710
2016-01-08,Dogecoin,13.6684
2016-01-09,Dogecoin,13.5928
2016-01-15,Dogecoin,-14.6992
2016-01-20,Dogecoin,13.4608
2016-01-24,Dogecoin,12.1024
2016-01-26,Dogecoin,68.2748
2016-01-27,Dogecoin,27.7324
2016-01-28,Dogecoin,-24.3783
2016-01-30,Dogecoin,-18.4630
2016-03-29,Dogecoin,18.1268
2016-06-13,Dogecoin,10.2231
2016-06-22,Dogecoin,-13.5123
2016-08-07,Dogecoin,13.9916
2016-08-08,Dogecoin,-10.1831
2017-03-25,Dogecoin,12.5004
2017-03-30,Dogecoin,11.6052
2017-04-02,Dogecoin,45.9917
2017-04-03,Dogecoin,-12.7170
2017-04-07,Dogecoin,-11.4377
2017-04-09,Dogecoin,-11.9155
2017-04-23,Dogecoin,12.5557
2017-04-27,Dogecoin,16.2170
2017-05-02,Dogecoin,-11.0390
2017-05-03,Dogecoin,11.1141
2017-05-05,Dogecoin,12.8106
2017-05-06,Dogecoin,39.2683
2017-05-07,Dogecoin,11.5555
2017-05-08,Dogecoin,16.5623
2017-05-09,Dogecoin,-18.5323
2017-05-15,Dogecoin,-11.4460
2017-05-17,Dogecoin,24.4424
2017-05-18,Dogecoin,14.4065
2017-05-20,Dogecoin,25.1863
2017-05-21,Dogecoin,61.1578
2017-05-22,Dogecoin,11.2174
2017-05-25,Dogecoin,-18.1768
2017-05-26,Dogecoin,-19.0514
2017-06-05,Dogecoin,21.8293
2017-06-07,Dogecoin,-11.7439
2017-07-10,Dogecoin,-16.2100
2017-07-15,Dogecoin,-11.7447
2017-07-16,Dogecoin,-11.9018
2017-07-17,Dogecoin,16.2552
2017-07-18,Dogecoin,22.6341
2017-07-20,Dogecoin,14.5473
2017-07-25,Dogecoin,-10.4222
2017-08-05,Dogecoin,14.6641
2017-08-30,Dogecoin,12.7649
2017-09-01,Dogecoin,23.2540
2017-09-02,Dogecoin,-12.4803
2017-09-04,Dogecoin,-17.0231
2017-09-08,Dogecoin,-17.2067
2017-09-10,Dogecoin,-11.0322
2017-09-14,Dogecoin,-38.9277
2017-09-18,Dogecoin,11.0980
2017-09-21,Dogecoin,-12.4358
2017-09-23,Dogecoin,23.5584
2017-09-25,Dogecoin,27.9382
2017-10-29,Dogecoin,13.1115
2017-11-09,Dogecoin,15.8161
2017-11-10,Dogecoin,-17.8364
2017-11-12,Dogecoin,-13.5755
2017-11-13,Dogecoin,16.6771
2017-11-15,Dogecoin,13.0398
2017-11-22,Dogecoin,31.2370
2017-11-28,Dogecoin,18.8406
2017-11-29,Dogecoin,-11.9405
2017-12-04,Dogecoin,10.8139
2017-12-12,Dogecoin,18.0955
2017-12-16,Dogecoin,57.7193
2017-12-19,Dogecoin,-11.9190
2017-12-20,Dogecoin,17.5672
2017-12-21,Dogecoin,11.4579
2017-12-22,Dogecoin,-18.4636
2017-12-23,Dogecoin,19.9130
2017-12-24,Dogecoin,18.2279
2017-12-29,Dogecoin,10.6666
2017-12-30,Dogecoin,-16.2972
2017-12-31,Dogecoin,14.1358
2018-01-05,Dogecoin,26.1632
2018-01-06,Dogecoin,22.1565
2018-01-07,Dogecoin,14.9688
2018-01-08,Dogecoin,-11.9542
2018-01-09,Dogecoin,-10.8003
2018-01-11,Dogecoin,-12.4621
2018-01-12,Dogecoin,13.8352
2018-01-14,Dogecoin,-10.2807
2018-01-15,Dogecoin,-15.6402
2018-01-16,Dogecoin,-30.7888
2018-01-17,Dogecoin,12.1039
2018-01-21,Dogecoin,-15.5837
2018-01-30,Dogecoin,-13.5392
2018-02-01,Dogecoin,-16.3232
2018-02-02,Dogecoin,-11.0251
2018-02-03,Dogecoin,15.4076
2018-02-04,Dogecoin,-14.8161
2018-02-05,Dogecoin,-19.6818
2018-02-06,Dogecoin,23.4199
2018-02-12,Dogecoin,10.4052
2018-02-14,Dogecoin,19.3842
2018-03-02,Dogecoin,-11.7992
2018-03-06,Dogecoin,-11.6404
2018-03-07,Dogecoin,-12.7101
2018-03-14,Dogecoin,-11.0252
2018-04-10,Dogecoin,10.1291
2018-04-11,Dogecoin,11.6296
2018-04-12,Dogecoin,11.8287
2018-04-15,Dogecoin,10.1366
2018-04-18,Dogecoin,14.0935
2018-04-25,Dogecoin,-12.1899
2018-04-26,Dogecoin,10.4747
2018-05-08,Dogecoin,10.0811
2018-05-11,Dogecoin,-10.4380
2018-06-10,Dogecoin,-11.4369
2018-06-22,Dogecoin,-10.7187
2018-07-16,Dogecoin,19.9280
2018-07-17,Dogecoin,13.0801
2018-07-18,Dogecoin,15.0118
2018-07-20,Dogecoin,-11.2873
2018-07-31,Dogecoin,-10.0200
2018-08-30,Dogecoin,23.0631
2018-08-31,Dogecoin,49.5055
2018-09-01,Dogecoin,30.9536
2018-09-02,Dogecoin,-20.3677
2018-09-10,Dogecoin,18.2447
2018-12-17,Dogecoin,19.1934
2019-04-01,Dogecoin,18.2969
2019-04-02,Dogecoin,13.5584
2019-04-03,Dogecoin,13.2220
2019-04-04,Dogecoin,16.8332
2019-04-08,Dogecoin,-10.9148
2019-05-14,Dogecoin,11.3201
2019-07-05,Dogecoin,19.7636
2019-09-24,Dogecoin,-10.3963
2020-02-08,Dogecoin,14.0810
2020-03-12,Dogecoin,-29.6032
2020-03-13,Dogecoin,13.0517
2020-03-19,Dogecoin,13.2643
2020-04-26,Dogecoin,12.4943
2020-07-06,Dogecoin,13.2778
2020-07-07,Dogecoin,18.1205
2020-07-08,Dogecoin,53.7406
2020-07-10,Dogecoin,-20.0589
2020-07-13,Dogecoin,-12.4551
2020-07-18,Dogecoin,13.4569
2020-08-01,Dogecoin,14.3636
2020-09-03,Dogecoin,-10.2495
2020-11-21,Dogecoin,17.4997
2020-11-24,Dogecoin,15.2329
2020-11-25,Dogecoin,-11.3458
2020-11-26,Dogecoin,-12.7968
2020-12-20,Dogecoin,17.7732
2020-12-23,Dogecoin,-16.4195
