"date","coin_name","close_price","daily_return_percent","log_return"
2018-02-07,Binance Coin,8.09501000,-2.3386,-0.023663
2018-02-08,Binance Coin,8.59550000,6.1827,0.059991
2018-02-09,Binance Coin,9.73046000,13.2041,0.124022
2018-02-10,Binance Coin,9.25597000,-4.8763,-0.049992
2018-02-11,Binance Coin,8.70491000,-5.9536,-0.061382
2018-02-12,Binance Coin,9.32247000,7.0944,0.068540
2018-02-13,Binance Coin,8.98678000,-3.6009,-0.036673
2018-02-14,Binance Coin,10.40060000,15.7322,0.146109
2018-02-15,Binance Coin,10.93110000,5.1007,0.049748
2018-02-16,Binance Coin,11.20160000,2.4746,0.024445
2018-02-17,Binance Coin,11.68930000,4.3538,0.042617
2018-02-18,Binance Coin,10.70240000,-8.4428,-0.088206
2018-02-19,Binance Coin,11.07570000,3.4880,0.034286
2018-02-20,Binance Coin,9.90451000,-10.5744,-0.111763
2018-02-21,Binance Coin,9.38079000,-5.2877,-0.054326
2018-02-22,Binance Coin,8.90403000,-5.0823,-0.052160
2018-02-23,Binance Coin,9.69211000,8.8508,0.084808
2018-02-24,Binance Coin,9.14191000,-5.6768,-0.058443
2018-02-25,Binance Coin,9.34660000,2.2390,0.022143
2018-02-26,Binance Coin,9.90232000,5.9457,0.057756
2018-02-27,Binance Coin,10.65990000,7.6505,0.073720
2018-02-28,Binance Coin,10.43820000,-2.0798,-0.021017
2018-03-01,Binance Coin,10.50970000,0.6850,0.006826
2018-03-02,Binance Coin,10.22480000,-2.7108,-0.027482
2018-03-03,Binance Coin,10.21790000,-0.0675,-0.000675
2018-03-04,Binance Coin,10.34810000,1.2742,0.012662
2018-03-05,Binance Coin,10.11050000,-2.2961,-0.023228
2018-03-06,Binance Coin,9.38438000,-7.1818,-0.074528
2018-03-07,Binance Coin,9.03488000,-3.7243,-0.037954
2018-03-08,Binance Coin,8.31044000,-8.0183,-0.083580
2018-03-09,Binance Coin,8.31307000,0.0316,0.000316
2018-03-10,Binance Coin,7.67166000,-7.7157,-0.080296
2018-03-11,Binance Coin,8.27238000,7.8304,0.075389
2018-03-12,Binance Coin,8.03927000,-2.8179,-0.028584
2018-03-13,Binance Coin,10.11520000,25.8224,0.229701
2018-03-14,Binance Coin,8.95921000,-11.4282,-0.121357
2018-03-15,Binance Coin,9.09908000,1.5612,0.015491
2018-03-16,Binance Coin,9.11132000,0.1345,0.001344
2018-03-17,Binance Coin,8.98774000,-1.3563,-0.013656
2018-03-18,Binance Coin,8.95185000,-0.3993,-0.004001
2018-03-19,Binance Coin,8.99274000,0.4568,0.004557
2018-03-20,Binance Coin,9.16093000,1.8703,0.018530
2018-03-21,Binance Coin,9.98200000,8.9627,0.085836
2018-03-22,Binance Coin,10.06630000,0.8445,0.008410
2018-03-23,Binance Coin,11.73760000,16.6029,0.153604
2018-03-24,Binance Coin,13.08910000,11.5143,0.108982
2018-03-25,Binance Coin,12.78310000,-2.3378,-0.023656
2018-03-26,Binance Coin,12.06140000,-5.6457,-0.058114
2018-03-27,Binance Coin,11.50830000,-4.5857,-0.046942
2018-03-28,Binance Coin,11.64040000,1.1479,0.011413
2018-03-29,Binance Coin,10.19610000,-12.4076,-0.132477
2018-03-30,Binance Coin,10.35040000,1.5133,0.015020
2018-03-31,Binance Coin,11.05590000,6.8162,0.065939
2018-04-01,Binance Coin,11.06620000,0.0932,0.000931
2018-04-02,Binance Coin,12.62070000,14.0473,0.131443
2018-04-03,Binance Coin,13.36070000,5.8634,0.056979
2018-04-04,Binance Coin,12.19040000,-8.7593,-0.091669
2018-04-05,Binance Coin,12.45360000,2.1591,0.021361
2018-04-06,Binance Coin,12.25840000,-1.5674,-0.015798
2018-04-07,Binance Coin,12.45570000,1.6095,0.015967
2018-04-08,Binance Coin,12.11760000,-2.7144,-0.027519
2018-04-09,Binance Coin,11.86830000,-2.0573,-0.020788
2018-04-10,Binance Coin,12.03620000,1.4147,0.014048
2018-04-11,Binance Coin,12.23090000,1.6176,0.016047
2018-04-12,Binance Coin,12.95250000,5.8998,0.057323
2018-04-13,Binance Coin,13.53680000,4.5111,0.044123
2018-04-14,Binance Coin,13.24440000,-2.1600,-0.021837
2018-04-15,Binance Coin,13.05880000,-1.4013,-0.014113
2018-04-16,Binance Coin,12.21000000,-6.4998,-0.067207
2018-04-17,Binance Coin,11.76940000,-3.6085,-0.036752
2018-04-18,Binance Coin,12.27570000,4.3018,0.042119
2018-04-19,Binance Coin,12.35260000,0.6264,0.006245
2018-04-20,Binance Coin,12.57520000,1.8020,0.017860
2018-04-21,Binance Coin,13.37840000,6.3872,0.061915
2018-04-22,Binance Coin,12.87590000,-3.7561,-0.038284
2018-04-23,Binance Coin,13.62530000,5.8202,0.056571
2018-04-24,Binance Coin,15.26600000,12.0416,0.113700
2018-04-25,Binance Coin,13.29090000,-12.9379,-0.138549
2018-04-26,Binance Coin,14.65360000,10.2529,0.097606
2018-04-27,Binance Coin,14.32910000,-2.2145,-0.022394
2018-04-28,Binance Coin,15.20010000,6.0785,0.059010
2018-04-29,Binance Coin,15.05620000,-0.9467,-0.009512
2018-04-30,Binance Coin,14.31210000,-4.9422,-0.050685
2018-05-01,Binance Coin,14.16430000,-1.0327,-0.010381
2018-05-02,Binance Coin,14.40920000,1.7290,0.017142
2018-05-03,Binance Coin,14.65260000,1.6892,0.016751
2018-05-04,Binance Coin,14.32950000,-2.2051,-0.022297
2018-05-05,Binance Coin,14.36870000,0.2736,0.002732
2018-05-06,Binance Coin,13.94260000,-2.9655,-0.030103
2018-05-07,Binance Coin,13.70250000,-1.7221,-0.017371
2018-05-08,Binance Coin,13.52900000,-1.2662,-0.012743
2018-05-09,Binance Coin,14.66020000,8.3613,0.080301
2018-05-10,Binance Coin,13.81840000,-5.7421,-0.059135
2018-05-11,Binance Coin,12.99390000,-5.9667,-0.061521
2018-05-12,Binance Coin,12.94390000,-0.3848,-0.003855
2018-05-13,Binance Coin,13.11870000,1.3504,0.013414
2018-05-14,Binance Coin,12.87070000,-1.8904,-0.019085
2018-05-15,Binance Coin,12.56780000,-2.3534,-0.023815
2018-05-16,Binance Coin,12.26050000,-2.4451,-0.024755
2018-05-17,Binance Coin,12.46500000,1.6680,0.016542
2018-05-18,Binance Coin,15.13540000,21.4232,0.194112
2018-05-19,Binance Coin,14.24570000,-5.8783,-0.060581
2018-05-20,Binance Coin,14.11780000,-0.8978,-0.009019
2018-05-21,Binance Coin,14.72230000,4.2818,0.041927
2018-05-22,Binance Coin,13.92550000,-5.4122,-0.055642
2018-05-23,Binance Coin,12.62620000,-9.3304,-0.097948
2018-05-24,Binance Coin,13.00030000,2.9629,0.029198
2018-05-25,Binance Coin,13.00800000,0.0592,0.000592
2018-05-26,Binance Coin,12.75910000,-1.9134,-0.019320
2018-05-27,Binance Coin,12.60580000,-1.2015,-0.012088
2018-05-28,Binance Coin,11.89430000,-5.6442,-0.058098
2018-05-29,Binance Coin,12.57170000,5.6952,0.055389
2018-05-30,Binance Coin,12.57090000,-0.0064,-0.000064
2018-05-31,Binance Coin,14.19020000,12.8813,0.121167
2018-06-01,Binance Coin,14.24080000,0.3566,0.003559
2018-06-02,Binance Coin,14.67970000,3.0820,0.030355
2018-06-03,Binance Coin,14.56600000,-0.7745,-0.007776
2018-06-04,Binance Coin,14.26110000,-2.0932,-0.021154
2018-06-05,Binance Coin,15.59930000,9.3836,0.089690
2018-06-06,Binance Coin,17.24750000,10.5659,0.100441
2018-06-07,Binance Coin,16.26310000,-5.7075,-0.058768
2018-06-08,Binance Coin,16.27380000,0.0658,0.000658
2018-06-09,Binance Coin,15.96320000,-1.9086,-0.019270
2018-06-10,Binance Coin,14.18420000,-11.1444,-0.118157
2018-06-11,Binance Coin,15.38350000,8.4552,0.081167
2018-06-12,Binance Coin,15.22620000,-1.0225,-0.010278
2018-06-13,Binance Coin,14.58910000,-4.1842,-0.042743
2018-06-14,Binance Coin,14.89530000,2.0988,0.020771
2018-06-15,Binance Coin,15.04810000,1.0258,0.010206
2018-06-16,Binance Coin,15.80920000,5.0578,0.049340
2018-06-17,Binance Coin,16.57880000,4.8681,0.047533
2018-06-18,Binance Coin,16.87970000,1.8150,0.017987
2018-06-19,Binance Coin,16.69960000,-1.0670,-0.010727
2018-06-20,Binance Coin,16.06190000,-3.8187,-0.038935
2018-06-21,Binance Coin,17.05330000,6.1724,0.059894
2018-06-22,Binance Coin,15.59390000,-8.5579,-0.089464
2018-06-23,Binance Coin,15.55120000,-0.2738,-0.002742
2018-06-24,Binance Coin,14.44760000,-7.0966,-0.073609
2018-06-25,Binance Coin,14.92090000,3.2760,0.032235
2018-06-26,Binance Coin,14.12000000,-5.3676,-0.055171
2018-06-27,Binance Coin,14.05010000,-0.4950,-0.004963
2018-06-28,Binance Coin,14.12460000,0.5302,0.005288
2018-06-29,Binance Coin,14.50860000,2.7187,0.026824
2018-06-30,Binance Coin,14.65730000,1.0249,0.010197
2018-07-01,Binance Coin,14.40410000,-1.7275,-0.017426
2018-07-02,Binance Coin,14.57060000,1.1559,0.011493
2018-07-03,Binance Coin,14.17150000,-2.7391,-0.027773
2018-07-04,Binance Coin,14.00550000,-1.1714,-0.011783
2018-07-05,Binance Coin,13.85050000,-1.1067,-0.011129
2018-07-06,Binance Coin,13.52960000,-2.3169,-0.023441
2018-07-07,Binance Coin,14.40480000,6.4688,0.062682
2018-07-08,Binance Coin,13.99190000,-2.8664,-0.029083
2018-07-09,Binance Coin,13.66450000,-2.3399,-0.023677
2018-07-10,Binance Coin,12.76130000,-6.6098,-0.068384
2018-07-11,Binance Coin,12.70490000,-0.4420,-0.004429
2018-07-12,Binance Coin,12.07060000,-4.9926,-0.051215
2018-07-13,Binance Coin,12.18010000,0.9072,0.009031
2018-07-14,Binance Coin,12.09650000,-0.6864,-0.006887
2018-07-15,Binance Coin,12.28910000,1.5922,0.015797
2018-07-16,Binance Coin,13.23730000,7.7158,0.074326
2018-07-17,Binance Coin,13.71280000,3.5921,0.035291
2018-07-18,Binance Coin,12.86480000,-6.1840,-0.063835
2018-07-19,Binance Coin,12.91800000,0.4135,0.004127
2018-07-20,Binance Coin,12.07090000,-6.5575,-0.067824
2018-07-21,Binance Coin,12.18530000,0.9477,0.009433
2018-07-22,Binance Coin,12.11990000,-0.5367,-0.005382
2018-07-23,Binance Coin,12.01990000,-0.8251,-0.008285
2018-07-24,Binance Coin,12.14510000,1.0416,0.010362
2018-07-25,Binance Coin,12.93940000,6.5401,0.063351
2018-07-26,Binance Coin,13.39730000,3.5388,0.034776
2018-07-27,Binance Coin,13.92270000,3.9217,0.038467
2018-07-28,Binance Coin,14.60170000,4.8769,0.047617
2018-07-29,Binance Coin,14.02120000,-3.9756,-0.040567
2018-07-30,Binance Coin,13.21690000,-5.7363,-0.059074
2018-07-31,Binance Coin,13.77540000,4.2257,0.041388
2018-08-01,Binance Coin,13.57390000,-1.4628,-0.014736
